年,月,日,曜日,休日,ユリウス通日,黄経/太陽,黄経/月,月齢,旧暦/年,旧暦/閏月FLAG,旧暦/月,旧暦/日,六曜,干支(日),二十四節気,節句,雑節
2059,1,1,水,元日,2473094.125,280.16693899,119.92027930,16.44939815,2058,0,11,17,先負,戊辰,,,
2059,1,2,木,,2473095.125,281.18577548,131.90928083,17.44939815,2058,0,11,18,仏滅,己巳,,,
2059,1,3,金,,2473096.125,282.20466748,143.81241013,18.44939815,2058,0,11,19,大安,庚午,,,
2059,1,4,土,,2473097.125,283.22361561,155.67046884,19.44939815,2058,0,11,20,赤口,辛未,,,
2059,1,5,日,,2473098.125,284.24262048,167.53567377,20.44939815,2058,0,11,21,先勝,壬申,小寒,,
2059,1,6,月,,2473099.125,285.26168240,179.47142931,21.44939815,2058,0,11,22,友引,癸酉,,,
2059,1,7,火,,2473100.125,286.28080097,191.55075108,22.44939815,2058,0,11,23,先負,甲戌,,人日,
2059,1,8,水,,2473101.125,287.29997464,203.85316563,23.44939815,2058,0,11,24,仏滅,乙亥,,,
2059,1,9,木,,2473102.125,288.31919987,216.45973622,24.44939815,2058,0,11,25,大安,丙子,,,
2059,1,10,金,,2473103.125,289.33846999,229.44572750,25.44939815,2058,0,11,26,赤口,丁丑,,,
2059,1,11,土,,2473104.125,290.35777342,242.87052949,26.44939815,2058,0,11,27,先勝,戊寅,,,
2059,1,12,日,,2473105.125,291.37709163,256.76511427,27.44939815,2058,0,11,28,友引,己卯,,,
2059,1,13,月,成人の日,2473106.125,292.39639738,271.11876667,28.44939815,2058,0,11,29,先負,庚辰,,,
2059,1,14,火,,2473107.125,293.41565457,285.86897029,29.44939815,2058,0,12,1,赤口,辛巳,,,
2059,1,15,水,,2473108.125,294.43482092,300.89997594,0.95958333,2058,0,12,2,先勝,壬午,,,
2059,1,16,木,,2473109.125,295.45385328,316.05464658,1.95958333,2058,0,12,3,友引,癸未,,,
2059,1,17,金,,2473110.125,296.47271375,331.15925104,2.95958333,2058,0,12,4,先負,甲申,,,土用入(冬)
2059,1,18,土,,2473111.125,297.49137373,346.05402606,3.95958333,2058,0,12,5,仏滅,乙酉,,,
2059,1,19,日,,2473112.125,298.50981431,0.61868074,4.95958333,2058,0,12,6,大安,丙戌,,,
2059,1,20,月,,2473113.125,299.52802405,14.78488498,5.95958333,2058,0,12,7,赤口,丁亥,大寒,,
2059,1,21,火,,2473114.125,300.54599585,28.53469935,6.95958333,2058,0,12,8,先勝,戊子,,,
2059,1,22,水,,2473115.125,301.56372462,41.88949885,7.95958333,2058,0,12,9,友引,己丑,,,
2059,1,23,木,,2473116.125,302.58120591,54.89542219,8.95958333,2058,0,12,10,先負,庚寅,,,
2059,1,24,金,,2473117.125,303.59843558,67.60981550,9.95958333,2058,0,12,11,仏滅,辛卯,,,
2059,1,25,土,,2473118.125,304.61540986,80.09083727,10.95958333,2058,0,12,12,大安,壬辰,,,
2059,1,26,日,,2473119.125,305.63212561,92.39073567,11.95958333,2058,0,12,13,赤口,癸巳,,,
2059,1,27,月,,2473120.125,306.64858075,104.55251562,12.95958333,2058,0,12,14,先勝,甲午,,,
2059,1,28,火,,2473121.125,307.66477455,116.60945846,13.95958333,2058,0,12,15,友引,乙未,,,
2059,1,29,水,,2473122.125,308.68070788,128.58689969,14.95958333,2058,0,12,16,先負,丙申,,,
2059,1,30,木,,2473123.125,309.69638325,140.50562329,15.95958333,2058,0,12,17,仏滅,丁酉,,,
2059,1,31,金,,2473124.125,310.71180468,152.38615880,16.95958333,2058,0,12,18,大安,戊戌,,,
2059,2,1,土,,2473125.125,311.72697739,164.25323316,17.95958333,2058,0,12,19,赤口,己亥,,,
2059,2,2,日,,2473126.125,312.74190729,176.13967494,18.95958333,2058,0,12,20,先勝,庚子,,,
2059,2,3,月,,2473127.125,313.75660043,188.08921202,19.95958333,2058,0,12,21,友引,辛丑,,,節分
2059,2,4,火,,2473128.125,314.77106239,200.15775845,20.95958333,2058,0,12,22,先負,壬寅,立春,,
2059,2,5,水,,2473129.125,315.78529755,212.41287654,21.95958333,2058,0,12,23,仏滅,癸卯,,,
2059,2,6,木,,2473130.125,316.79930823,224.93105318,22.95958333,2058,0,12,24,大安,甲辰,,,
2059,2,7,金,,2473131.125,317.81309353,237.79225932,23.95958333,2058,0,12,25,赤口,乙巳,,,
2059,2,8,土,,2473132.125,318.82664780,251.07110970,24.95958333,2058,0,12,26,先勝,丙午,,,
2059,2,9,日,,2473133.125,319.83995885,264.82412419,25.95958333,2058,0,12,27,友引,丁未,,,
2059,2,10,月,,2473134.125,320.85300640,279.07360905,26.95958333,2058,0,12,28,先負,戊申,,,
2059,2,11,火,建国記念の日,2473135.125,321.86576177,293.79095656,27.95958333,2058,0,12,29,仏滅,己酉,,,
2059,2,12,水,,2473136.125,322.87818986,308.88530384,28.95958333,2059,0,1,1,先勝,庚戌,,,
2059,2,13,木,,2473137.125,323.89025359,324.20534951,0.52195602,2059,0,1,2,友引,辛亥,,,
2059,2,14,金,,2473138.125,324.90191929,339.55930971,1.52195602,2059,0,1,3,先負,壬子,,,
2059,2,15,土,,2473139.125,325.91316032,354.74955418,2.52195602,2059,0,1,4,仏滅,癸丑,,,
2059,2,16,日,,2473140.125,326.92395732,9.60955120,3.52195602,2059,0,1,5,大安,甲寅,,,
2059,2,17,月,,2473141.125,327.93429601,24.02916893,4.52195602,2059,0,1,6,赤口,乙卯,,,
2059,2,18,火,,2473142.125,328.94416464,37.96170473,5.52195602,2059,0,1,7,先勝,丙辰,,,
2059,2,19,水,,2473143.125,329.95355262,51.41550367,6.52195602,2059,0,1,8,友引,丁巳,雨水,,
2059,2,20,木,,2473144.125,330.96245028,64.43781534,7.52195602,2059,0,1,9,先負,戊午,,,
2059,2,21,金,,2473145.125,331.97084933,77.09780028,8.52195602,2059,0,1,10,仏滅,己未,,,
2059,2,22,土,,2473146.125,332.97874334,89.47248736,9.52195602,2059,0,1,11,大安,庚申,,,
2059,2,23,日,,2473147.125,333.98612812,101.63679085,10.52195602,2059,0,1,12,赤口,辛酉,,,
2059,2,24,月,,2473148.125,334.99300188,113.65729506,11.52195602,2059,0,1,13,先勝,壬戌,,,
2059,2,25,火,,2473149.125,335.99936543,125.58912329,12.52195602,2059,0,1,14,友引,癸亥,,,
2059,2,26,水,,2473150.125,337.00522221,137.47527701,13.52195602,2059,0,1,15,先負,甲子,,,
2059,2,27,木,,2473151.125,338.01057824,149.34798968,14.52195602,2059,0,1,16,仏滅,乙丑,,,
2059,2,28,金,,2473152.125,339.01544201,161.23168546,15.52195602,2059,0,1,17,大安,丙寅,,,
2059,3,1,土,,2473153.125,340.01982403,173.14707151,16.52195602,2059,0,1,18,赤口,丁卯,,,
2059,3,2,日,,2473154.125,341.02373633,185.11575138,17.52195602,2059,0,1,19,先勝,戊辰,,,
2059,3,3,月,,2473155.125,342.02719164,197.16465278,18.52195602,2059,0,1,20,友引,己巳,,上巳,
2059,3,4,火,,2473156.125,343.03020251,209.32954817,19.52195602,2059,0,1,21,先負,庚午,,,
2059,3,5,水,,2473157.125,344.03278027,221.65702049,20.52195602,2059,0,1,22,仏滅,辛未,啓蟄,,
2059,3,6,木,,2473158.125,345.03493400,234.20429611,21.52195602,2059,0,1,23,大安,壬申,,,
2059,3,7,金,,2473159.125,346.03666939,247.03639001,22.52195602,2059,0,1,24,赤口,癸酉,,,
2059,3,8,土,,2473160.125,347.03798751,260.21996014,23.52195602,2059,0,1,25,先勝,甲戌,,,
2059,3,9,日,,2473161.125,348.03888366,273.81334707,24.52195602,2059,0,1,26,友引,乙亥,,,
2059,3,10,月,,2473162.125,349.03934657,287.85282054,25.52195602,2059,0,1,27,先負,丙子,,,
2059,3,11,火,,2473163.125,350.03935853,302.33654362,26.52195602,2059,0,1,28,仏滅,丁丑,,,
2059,3,12,水,,2473164.125,351.03889693,317.21030049,27.52195602,2059,0,1,29,大安,戊寅,,,
2059,3,13,木,,2473165.125,352.03793736,332.36155126,28.52195602,2059,0,1,30,赤口,己卯,,,
2059,3,14,金,,2473166.125,353.03645700,347.62825868,0.12038194,2059,0,2,1,友引,庚辰,,,
2059,3,15,土,,2473167.125,354.03443665,2.82385559,1.12038194,2059,0,2,2,先負,辛巳,,,
2059,3,16,日,,2473168.125,355.03186031,17.77127834,2.12038194,2059,0,2,3,仏滅,壬午,,,
2059,3,17,月,,2473169.125,356.02871338,32.33349660,3.12038194,2059,0,2,4,大安,癸未,,,彼岸入(春)
2059,3,18,火,,2473170.125,357.02498111,46.43033273,4.12038194,2059,0,2,5,赤口,甲申,,,
2059,3,19,水,,2473171.125,358.02064868,60.03932370,5.12038194,2059,0,2,6,先勝,乙酉,,,
2059,3,20,木,春分の日,2473172.125,359.01570242,73.18530045,6.12038194,2059,0,2,7,友引,丙戌,春分,,彼岸(春)
2059,3,21,金,,2473173.125,0.01013111,85.92542169,7.12038194,2059,0,2,8,先負,丁亥,,,
2059,3,22,土,,2473174.125,1.00392690,98.33471356,8.12038194,2059,0,2,9,仏滅,戊子,,,社日(春)
2059,3,23,日,,2473175.125,1.99708565,110.49448971,9.12038194,2059,0,2,10,大安,己丑,,,彼岸明(春)
2059,3,24,月,,2473176.125,2.98960682,122.48409876,10.12038194,2059,0,2,11,赤口,庚寅,,,
2059,3,25,火,,2473177.125,3.98149339,134.37556457,11.12038194,2059,0,2,12,先勝,辛卯,,,
2059,3,26,水,,2473178.125,4.97275162,146.23051901,12.12038194,2059,0,2,13,友引,壬辰,,,
2059,3,27,木,,2473179.125,5.96339097,158.09897556,13.12038194,2059,0,2,14,先負,癸巳,,,
2059,3,28,金,,2473180.125,6.95342394,170.01967567,14.12038194,2059,0,2,15,仏滅,甲午,,,
2059,3,29,土,,2473181.125,7.94286572,182.02183043,15.12038194,2059,0,2,16,大安,乙未,,,
2059,3,30,日,,2473182.125,8.93173370,194.12802822,16.12038194,2059,0,2,17,赤口,丙申,,,
2059,3,31,月,,2473183.125,9.92004658,206.35791359,17.12038194,2059,0,2,18,先勝,丁酉,,,
2059,4,1,火,,2473184.125,10.90782330,218.73204422,18.12038194,2059,0,2,19,友引,戊戌,,,
2059,4,2,水,,2473185.125,11.89508173,231.27517776,19.12038194,2059,0,2,20,先負,己亥,,,
2059,4,3,木,,2473186.125,12.88183736,244.01819111,20.12038194,2059,0,2,21,仏滅,庚子,,,
2059,4,4,金,,2473187.125,13.86810218,256.99787947,21.12038194,2059,0,2,22,大安,辛丑,,,
2059,4,5,土,,2473188.125,14.85388374,270.25401912,22.12038194,2059,0,2,23,赤口,壬寅,清明,,
2059,4,6,日,,2473189.125,15.83918474,283.82331978,23.12038194,2059,0,2,24,先勝,癸卯,,,
2059,4,7,月,,2473190.125,16.82400305,297.73036691,24.12038194,2059,0,2,25,友引,甲辰,,,
